Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
Finland,7.808700084686279,10.639266967773438,0.9543297290802002,71.90082550048828,0.9491721987724304,-0.059482019394636154,0.19544458389282227,2020
Denmark,7.645599842071533,10.774001121520996,0.9559907913208008,72.40250396728516,0.9514442682266235,0.06620177626609802,0.1684894561767578,2020
Switzerland,7.559899806976318,10.97993278503418,0.9428465962409973,74.10244750976562,0.9213366508483887,0.10591103881597519,0.3037284314632416,2020
Iceland,7.504499912261963,10.77255916595459,0.9746695756912231,73.0,0.9488918781280518,0.24694421887397766,0.71170973777771,2020
Norway,7.48799991607666,11.087803840637207,0.9524865746498108,73.2007827758789,0.9557502865791321,0.134532630443573,0.2632181942462921,2020
Netherlands,7.44890022277832,10.812711715698242,0.9391388297080994,72.30091857910156,0.9085478186607361,0.20761243999004364,0.36471712589263916,2020
Sweden,7.353499889373779,10.758793830871582,0.926311194896698,72.60076904296875,0.9391441941261292,0.11161462217569351,0.2508801817893982,2020
New Zealand,7.299600124359131,10.500943183898926,0.949118971824646,73.20262908935547,0.9362174868583679,0.1915980726480484,0.2211388498544693,2020
Austria,7.2941999435424805,10.742823600769043,0.9280458688735962,73.00250244140625,0.8999894857406616,0.08542922139167786,0.49995487928390503,2020
Luxembourg,7.237500190734863,11.45068073272705,0.9069122076034546,72.5999984741211,0.9056364297866821,-0.004620587918907404,0.3670842945575714,2020
Canada,7.232100009918213,10.692368507385254,0.9271766543388367,73.60160064697266,0.9339132308959961,0.12477076798677444,0.39084336161613464,2020
Australia,7.222799777984619,10.720596313476562,0.9448546171188354,73.60453796386719,0.9154317378997803,0.19046016037464142,0.4151691198348999,2020
United Kingdom,7.1645002365112305,10.60013484954834,0.9366828203201294,72.30160522460938,0.8347436785697937,0.2637324929237366,0.43591591715812683,2020
Israel,7.128600120544434,10.417525291442871,0.9135712385177612,73.20025634765625,0.7475805878639221,0.10259371995925903,0.7808550596237183,2020
Costa Rica,7.121399879455566,9.658156394958496,0.9015459418296814,71.29985046386719,0.9347389340400696,-0.10242971032857895,0.7863324284553528,2020
Ireland,7.093699932098389,11.160978317260742,0.9420815706253052,72.30078887939453,0.8869829773902893,0.14578497409820557,0.35718417167663574,2020
Germany,7.075799942016602,10.732818603515625,0.8988744616508484,72.20201873779297,0.8673710823059082,0.08017938584089279,0.45642203092575073,2020
United States,6.939599990844727,10.925768852233887,0.9142190217971802,68.29949951171875,0.8426195383071899,0.14989173412322998,0.6997153162956238,2020
Czech Republic,6.910900115966797,10.404163360595703,0.9144306778907776,70.04793548583984,0.8185373544692993,-0.23086151480674744,0.8584462404251099,2020
Belgium,6.863500118255615,10.673639297485352,0.9116325378417969,72.00164794921875,0.8135820627212524,-0.07869119942188263,0.6122979521751404,2020
United Arab Emirates,6.790800094604492,11.10999870300293,0.8491811156272888,67.0827865600586,0.9413455128669739,0.12345084547996521,0.5945022106170654,2020
Malta,6.772799968719482,10.533838272094727,0.9303795099258423,72.19999694824219,0.9249114394187927,0.2149658054113388,0.6585472822189331,2020
France,6.66379976272583,10.584222793579102,0.9371037483215332,73.80193328857422,0.8254676461219788,-0.13064196705818176,0.5835211277008057,2020
Mexico,6.465000152587891,9.797797203063965,0.8386654257774353,68.29902648925781,0.8587092757225037,-0.17526662349700928,0.8068215847015381,2020
Taiwan Province of China,6.455399990081787,10.77568531036377,0.8943091034889221,69.5999984741211,0.7715303301811218,-0.07319869846105576,0.7318829298019409,2020
Uruguay,6.440100193023682,9.948192596435547,0.9228112697601318,69.00254821777344,0.8923954367637634,-0.10110311210155487,0.6359941363334656,2020
Saudi Arabia,6.406499862670898,10.797812461853027,0.8740670680999756,66.30514526367188,0.854191243648529,-0.16869506239891052,0.6826195120811462,2020
Spain,6.400899887084961,10.462926864624023,0.9211254119873047,74.4027099609375,0.7519895434379578,-0.05096171423792839,0.7658599019050598,2020
Guatemala,6.398900032043457,8.924805641174316,0.8166214823722839,64.80894470214844,0.9081475734710693,-0.04293866455554962,0.7832374572753906,2020
Italy,6.387400150299072,10.481836318969727,0.8898785710334778,73.6016845703125,0.6646519899368286,-0.04346099868416786,0.8734046816825867,2020
Singapore,6.377099990844727,11.39552116394043,0.9102689623832703,76.80458068847656,0.9266453385353088,0.029879223555326462,0.10978419333696365,2020
Brazil,6.3755998611450195,9.566434860229492,0.8967238068580627,66.48016357421875,0.7998048067092896,-0.10181239247322083,0.7706012725830078,2020
Slovenia,6.363399982452393,10.392322540283203,0.9395756721496582,71.10298919677734,0.93614262342453,-0.08060338348150253,0.8170710206031799,2020
El Salvador,6.348299980163574,8.909075736999512,0.8060922622680664,66.10826110839844,0.83380526304245,-0.12107297778129578,0.7543199062347412,2020
Kosovo,6.325200080871582,9.204429626464844,0.8207265138626099,63.885555267333984,0.861535906791687,0.19093376398086548,0.9223282933235168,2020
Panama,6.304800033569336,10.034234046936035,0.9020944833755493,69.60301208496094,0.8803665041923523,-0.15392771363258362,0.8515889048576355,2020
Slovakia,6.280600070953369,10.347749710083008,0.9224937558174133,68.90634155273438,0.7499526739120483,-0.12440930306911469,0.918096125125885,2020
Uzbekistan,6.257599830627441,8.740371704101562,0.9265958070755005,65.10757446289062,0.9749981164932251,0.248427152633667,0.5014973878860474,2020
Chile,6.228499889373779,10.032054901123047,0.8797135949134827,69.90061950683594,0.7448962926864624,-0.06566836684942245,0.8382394313812256,2020
Bahrain,6.22730016708374,10.676380157470703,0.8763421177864075,68.5,0.9058557748794556,0.13372918963432312,0.7393471002578735,2020
Lithuania,6.2154998779296875,10.343626022338867,0.9261071085929871,67.29407501220703,0.7473814487457275,-0.21972529590129852,0.809583842754364,2020
Trinidad and Tobago,6.19189977645874,10.260002136230469,0.9152941703796387,63.5,0.8579071164131165,0.0005268406821414828,0.9122306108474731,2020
Poland,6.186299800872803,10.265124320983887,0.8742574453353882,69.3111343383789,0.862055778503418,-0.20508407056331635,0.6869270205497742,2020
Colombia,6.163400173187256,9.50036907196045,0.8844402432441711,67.6995849609375,0.8361799120903015,-0.16123564541339874,0.8645718097686768,2020
Cyprus,6.158999919891357,10.405702590942383,0.8059962391853333,73.70222473144531,0.7798582911491394,0.04373149573802948,0.8562717437744141,2020
Nicaragua,6.1371002197265625,8.493160247802734,0.8574970364570618,67.5071792602539,0.8639028668403625,0.020959140732884407,0.6659501194953918,2020
Romania,6.123700141906738,10.107583999633789,0.8251615166664124,67.20723724365234,0.8428232073783875,-0.1978152096271515,0.9343002438545227,2020
Kuwait,6.102099895477295,11.089824676513672,0.8464752435684204,66.76764678955078,0.8723664879798889,-0.10018470138311386,0.7608490586280823,2020
Mauritius,6.10129976272583,9.956786155700684,0.9103578329086304,66.40434265136719,0.8895345330238342,-0.018318573012948036,0.8053430914878845,2020
Kazakhstan,6.0578999519348145,10.11465835571289,0.9347448945045471,64.6099624633789,0.8116019368171692,-0.06848863512277603,0.7644908428192139,2020
Estonia,6.0218000411987305,10.340017318725586,0.9347299933433533,68.6049575805664,0.877709150314331,-0.11169777065515518,0.6230738162994385,2020
Philippines,6.00600004196167,8.993545532226562,0.8467300534248352,61.926761627197266,0.9154634475708008,-0.10546300560235977,0.7336341142654419,2020
Hungary,6.000400066375732,10.24924373626709,0.9219341278076172,67.60997009277344,0.7189645767211914,-0.19432301819324493,0.8929165005683899,2020
Thailand,5.998799800872803,9.741791725158691,0.8899732232093811,67.25059509277344,0.9050630331039429,0.2686851918697357,0.8862723112106323,2020
Argentina,5.974699974060059,9.810955047607422,0.9005679488182068,68.80380249023438,0.8311324119567871,-0.1949138641357422,0.8420098423957825,2020
Honduras,5.953199863433838,8.424534797668457,0.8218701481819153,67.19876861572266,0.8706032633781433,0.08696911484003067,0.8011319041252136,2020
Latvia,5.949999809265137,10.17531967163086,0.9182885885238647,66.80746459960938,0.6712376475334167,-0.18688884377479553,0.7955800890922546,2020
Ecuador,5.92519998550415,9.246058464050293,0.8364189863204956,68.50003814697266,0.8598289489746094,-0.12701496481895447,0.8012151122093201,2020
Portugal,5.910900115966797,10.263742446899414,0.8865907192230225,72.40202331542969,0.8887478113174438,-0.22071430087089539,0.8926295042037964,2020
Jamaica,5.889800071716309,9.006250381469727,0.9157018661499023,67.0999984741211,0.8580685257911682,-0.12510676681995392,0.8888900279998779,2020
South Korea,5.872399806976318,10.510566711425781,0.7993871569633484,73.60272979736328,0.6129651069641113,-0.04340403154492378,0.7890674471855164,2020
Japan,5.870800018310547,10.579689025878906,0.8835459351539612,75.00096893310547,0.8099613785743713,-0.24691034853458405,0.6545580625534058,2020
Peru,5.796800136566162,9.456313133239746,0.8310752511024475,68.10023498535156,0.8247660994529724,-0.16238822042942047,0.893714964389801,2020
Serbia,5.778200149536133,9.680980682373047,0.8814757466316223,68.210205078125,0.7264958620071411,-0.0736762210726738,0.8435090184211731,2020
Bolivia,5.747499942779541,8.851115226745605,0.8031086921691895,63.60047149658203,0.875873327255249,-0.09168113023042679,0.8226062059402466,2020
Pakistan,5.693299770355225,8.48272705078125,0.6890622973442078,58.253135681152344,0.7348337173461914,0.044899869710206985,0.7457054257392883,2020
Paraguay,5.6921000480651855,9.389982223510742,0.8987278938293457,65.63993835449219,0.885923445224762,0.007997713051736355,0.8347885012626648,2020
Dominican Republic,5.689199924468994,9.664880752563477,0.882085382938385,65.80748748779297,0.8662027716636658,-0.13126328587532043,0.7559999227523804,2020
Bosnia and Herzegovina,5.674099922180176,9.455817222595215,0.8292041420936584,67.80813598632812,0.6513527035713196,0.09827455878257751,0.9337691068649292,2020
Moldova,5.607500076293945,8.776714324951172,0.8433135747909546,65.01301574707031,0.7216091752052307,-0.0377410389482975,0.9133142828941345,2020
Tajikistan,5.555699825286865,8.024810791015625,0.8352971076965332,64.1045913696289,0.8313834071159363,-0.025088511407375336,0.5920760631561279,2020
Montenegro,5.54610013961792,9.751860618591309,0.8553146123886108,68.5053482055664,0.6495656371116638,-0.07560035586357117,0.7831215858459473,2020
Russia,5.546000003814697,10.12887191772461,0.903150737285614,64.10045623779297,0.7298926115036011,-0.15115374326705933,0.8648025989532471,2020
Kyrgyzstan,5.541500091552734,8.148405075073242,0.8872284889221191,64.10601043701172,0.9093748927116394,0.1547720581293106,0.8883960843086243,2020
Belarus,5.539899826049805,9.779945373535156,0.9067474603652954,66.10433197021484,0.639163076877594,-0.16492654383182526,0.635711669921875,2020
North Cyprus,5.5355000495910645,10.405702590942383,0.8203566074371338,73.70222473144531,0.7952935099601746,0.00022715852537658066,0.6261156797409058,2020
Greece,5.514999866485596,10.132326126098633,0.8143803477287292,72.40525817871094,0.5413451194763184,-0.3009073734283447,0.8599314093589783,2020
Hong Kong S.A.R. of China,5.51039981842041,10.934671401977539,0.8459690809249878,76.7717056274414,0.7798337936401367,0.13497990369796753,0.42060720920562744,2020
Croatia,5.504700183868408,10.07087516784668,0.874623715877533,70.21490478515625,0.7148388028144836,-0.1285383254289627,0.9164952635765076,2020
Libya,5.488800048828125,9.789815902709961,0.8259429335594177,62.29999923706055,0.773157000541687,-0.08505448698997498,0.6687791347503662,2020
Mongolia,5.456200122833252,9.412186622619629,0.9371424913406372,62.30448532104492,0.6933513283729553,0.09809386730194092,0.8635112047195435,2020
